Name,Edição,Etiquetas,Seção,Tema,URL
A arca do reino,120,,Decifre,Ordem do rei manda enviar pássaros e quadrúpedes do Brasil colonial para Portugal,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/decifre/a-arca-do-reino
A conquista dos sertões,120,,Artigos,"A ocupação do interior do Brasil se deu pela mão dos paulistas na expansão pecuária, em guerra com os indígenas",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/a-conquista-dos-sertoes
Arqueologia no divã,120,,Artigos,"Fundador da psicanálise, Sigmund Freud era um apaixonado por antiguidades e dono de imensa coleção de artefatos",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/arqueologia-no-diva
Barroco sob camadas,120,,Em dia,Restauração em igreja de Salvador descobre que forro do século XVIII estava oculto por várias repinturas,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/em-dia/barroco-sob-camadas
Carta do editor,120,,Carta do editor,Educação: Tudo sob controle?,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/carta-do-editor/carta-do-editor-n-120
Circe Bittencourt,120,,Entrevista,“Há censura dentro de um número significativo de escolas particulares”,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/entrevista/circe-bittencourt
Da civilidade à civilização,120,Educação,Dossiê,Ideal moderno de educação nasceu com a burguesia e teve que questionar a civilização para incorporar o “outro”,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/capa/da-civilidade-a-civilizacao
Educação na rede,120,,Em dia,Plataforma de diálogo intercultural gerenciada por indígenas completa quatro anos e busca novos recursos,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/em-dia/educacao-na-rede
Em boa companhia,120,,Retrato,Relações com Anísio Teixeira e Leonel Brizola fizeram de Darcy Ribeiro um dos expoentes das reformas educacionais no país,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/retrato/em-boa-companhia
Enquanto isso...,120,,Artigos,No tempo em que o direito de greve se afirma no Brasil... explodem as mobilizações internacionais,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/enquanto-isso-17
"Esquerda, reformas e poder",120,,Artigos,"Originalmente próximos do marxismo, o Partido dos Trabalhadores brasileiro e o Partido Socialista chileno fizeram concessões ao assumir o governo",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/esquerda-reformas-e-poder
Estudante paga meia,120,,Artigos,"Iniciada em 1935, “Campanha dos 50%” conquistou descontos no transporte e na cultura e influenciou movimento estudantil",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/estudante-paga-meia
Fazer sua própria escola,120,,Artigos,"Contra estigmas e preconceitos, indígenas e quilombolas conquistam o direito à educação diferenciada",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/fazer-sua-propria-escola
Feitiço das fontes,120,,A História do Historiador,"Orgulhoso de sua história, Moçambique é uma aventura para o pesquisador",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/a-historia-do-historiador/feitico-das-fontes
"Hoje revolução, amanhã golpe",120,Educação,Dossiê,"Nos livros didáticos, narrativas sobre a ditadura mudaram de acordo com o contexto",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/capa/hoje-revolucao-amanha-golpe
Instruir sem incluir,120,Educação,Dossiê,"Desde a Independência, educação é solução para civilizar o país, desde que permaneçam todos em seu lugar",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/capa/instruir-sem-incluir
Lições de utopia,120,,Leituras,Pedagogia de Paulo Freire tem objetivos claros: libertar as pessoas e alimentar sua capacidade de sonhar,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/leituras/licoes-de-utopia
Ligações e tudo o mais,120,,Por dentro da Biblioteca,"Lista telefônica de 1942 ia além dos números e assinantes, com informações que retratam costumes da época",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/por-dentro-da-biblioteca/ligacoes-e-tudo-o-mais
Não ouse parar,120,,Artigos,"Mesmo quando reconhecida como direito, a greve foi alvo de violenta (e ilegal) repressão no Brasil republicano",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/artigos-revista/nao-ouse-parar
Pedagogia do guerreiro,120,Educação,Dossiê,"Na educação militar, rituais e simbologias heroicas formam alunos em internatos, isolados da vida civil, em pactos de guerra e morte",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/capa/pedagogia-do-guerreiro
Quem é o doutrinador?,120,,Leituras,Acusação a Paulo Freire erra o alvo: sua pedagogia prima pela autonomia do educando na construção dos saberes,https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/leituras/quem-e-o-doutrinador
Saber é poder,120,Educação,Dossiê,"Educação ocidental ajudou a subjugar os povos africanos colonizados pela Europa, mas tornou-se ferramenta para sua libertação",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/capa/saber-e-poder
Sementes de inovação,120,,Perspectiva,"Nascida com a Independência, Sociedade Auxiliadora da Indústria Nacional incentivou a modernização das formas de produção no país",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/perspectiva/sementes-de-inovacao
"Uma beleza, a beleza",120,,Perspectiva,"Painel do Itamaraty, de Fayga Ostrower, condensa a sinfonia de cores e formas abstratas que a artista compunha em suas gravuras",https://web.archive.org/web/20160122064349/http://revistadehistoria.com.br/secao/perspectiva/uma-beleza-a-beleza
A memória alheia,119,,Decifre,Memória de 1796 foi composta para agradar autoridade colonial,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/decifre/a-memoria-alheia
Carta do editor,119,,Carta do editor,,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/carta-do-editor/carta-do-editor-3
Repressão daltônica,119,,Em dia,Documentário da TV Senado apresenta casos internacionais de violação de direitos durante a última ditadura,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/em-dia/repressao-daltonica
Raio memetizador,119,,Em dia,Projeto da UFF lança webmuseu colaborativo para expor e debater universo dos memes,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/em-dia/raio-memetizador
As leis da intolerância,119,Homossexualidades,Dossiê,"Considerada abominável, a homossexualidade foi criminalizada pela Igreja, pelo Estado e pela Inquisição com penas que chegavam à morte",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/capa/as-leis-da-intolerancia
Eros político,119,Homossexualidades,Dossiê,"Entre os gregos antigos, as relações homoeróticas eram marcadas por um sentido hierárquico",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/capa/eros-politico
